"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
0.600154609028027,-0.116641124632027,0.022,0.02,1,"ABCB9"
0.600177390014593,0.425580169991065,0.011,0.009,1,"SGPP2"
0.600384723827429,0.369260902193528,0.15,0.1,1,"NPIPB5"
0.600481442493886,-0.485790167856085,0.022,0.021,1,"STS"
0.600586072440115,0.150350569171461,0.036,0.028,1,"WFS1"
0.600787414719527,-0.687599821845473,0.022,0.033,1,"COBLL1"
0.601181022418433,-0.167791923576214,0.014,0.013,1,"CLPP"
0.601264175017741,0.202582856457301,0.119,0.081,1,"DYNC1LI1"
0.601292536309109,-0.355449870395885,0.015,0.016,1,"ANKRD54"
0.601297897914682,-0.398681593159718,0.018,0.016,1,"TMEM208"
0.601343948866216,0.18643076351804,0.028,0.024,1,"TAF1A"
0.60164884657758,-0.3338105851866,0.011,0.012,1,"ZNF185"
0.6017682562683,-0.590699349039156,0.011,0.014,1,"ZBED8"
0.601952447554875,-0.588683738796822,0.011,0.012,1,"YIF1A"
0.603003594548651,-0.105570290552011,0.011,0.014,1,"MALRD1"
0.603059093158274,-0.293568419394038,0.029,0.024,1,"GAS2"
0.603464060962059,-0.891458166675158,0.009,0.014,1,"GSTO2"
0.603688642762126,-0.256514781587854,0.012,0.012,1,"POLD4"
0.603948224650184,0.36866119952498,0.021,0.014,1,"PCDH11X"
0.604058277543385,-1.05563763605413,0.006,0.01,1,"MRVI1"
0.604370569575788,-0.562161890849317,0.043,0.048,1,"PELP1"
0.604576835724768,0.158604049834963,0.028,0.022,1,"ANKRD16"
0.604639148089741,-0.592917847237781,0.024,0.026,1,"GPATCH1"
0.604661587859605,-0.512490551948658,0.014,0.015,1,"ZSCAN21"
0.606165608226035,-0.261353990902352,0.014,0.009,1,"KNSTRN"
0.606405920281409,-0.464042414502116,0.017,0.021,1,"PDZRN3"
0.60707827223163,0.987894148120262,0.019,0.009,1,"SPOUT1"
0.60754391762675,0.116820139504426,0.052,0.036,1,"MOB2"
0.607706212838013,0.213083109825559,0.033,0.022,1,"METTL17"
0.608080976070552,-0.160760039441085,0.021,0.024,1,"NACAD"
0.60843165991993,0.182201451971442,0.028,0.021,1,"CD2BP2"
0.608561130602961,-0.48313004543183,0.03,0.037,1,"LINC00907"
0.609305016399196,-0.422156829880412,0.015,0.018,1,"DNASE1L1"
0.609478041769497,0.908320203866734,0.039,0.022,1,"TRAF2"
0.609641300612915,0.194034991088316,0.076,0.054,1,"C3orf38"
0.609725873180234,0.18275100339191,0.013,0.008,1,"AC106739.1"
0.610033214764871,-0.573213089504379,0.01,0.009,1,"FIGNL1"
0.610492365678447,1.06008331150229,0.02,0.008,1,"RANBP3L"
0.610608751665731,-0.171964504856084,0.039,0.043,1,"ZNF746"
0.610941164953071,0.250889018519095,0.012,0.007,1,"NOMO2"
0.610981621479882,-1.05451370939021,0.007,0.013,1,"RAB26"
0.611093666746357,0.437020999087791,0.034,0.026,1,"AP002884.3"
0.611147976857544,0.129582490182425,0.045,0.035,1,"CCDC138"
0.611268768402286,-0.359832240127183,0.011,0.014,1,"C6orf120"
0.61149748655853,-0.224427679967147,0.051,0.049,1,"NUDCD1"
0.61208679578845,1.04472377075933,0.048,0.019,1,"LRP4"
0.61209949970339,-0.192015275495289,0.023,0.024,1,"ACSL5"
0.612123245264435,0.282600134505367,0.014,0.009,1,"AL117339.5"
0.612629599620348,-0.181571464354707,0.014,0.014,1,"HIST1H2BE"
0.612997343530026,0.318631186306223,0.024,0.015,1,"RBM38"
0.613256111494983,0.813902161386138,0.011,0.005,1,"VMO1"
0.613348181760628,-0.386103921042781,0.042,0.041,1,"SETD1B"
0.613374866172036,0.279238395327765,0.014,0.009,1,"EBF4"
0.613400200490255,0.357616540307291,0.096,0.061,1,"SERP1"
0.614014280077715,-0.319300127088559,0.023,0.022,1,"MIEF1"
0.614054205771617,0.220700902144422,0.058,0.044,1,"NONO"
0.614199558191243,-0.325162436586112,0.01,0.012,1,"EFEMP2"
0.614344250130932,0.263789488665631,0.04,0.037,1,"MEIS2"
0.614842959861031,0.219911715743749,0.025,0.021,1,"P3H1"
0.61521694945571,-0.164830553825316,0.051,0.044,1,"CHMP5"
0.61522767835596,-0.4216878579474,0.011,0.012,1,"GLI3"
0.615259912334522,0.286494841159215,0.051,0.036,1,"UBAC1"
0.615304093714962,-0.290325661312867,0.027,0.028,1,"NR1H3"
0.615309069902061,-0.341842459719286,0.035,0.037,1,"TMEM175"
0.615895222609424,-0.586094144102106,0.013,0.014,1,"GEMIN2"
0.616033788848496,0.769792691148375,0.016,0.009,1,"LINC01588"
0.616155559705136,-0.133485154683908,0.017,0.013,1,"MRTO4"
0.616216300496448,-0.383015813104153,0.038,0.041,1,"VIPAS39"
0.616483400598744,0.30040416436978,0.012,0.008,1,"PLAT"
0.61669692725149,0.191035139324766,0.025,0.02,1,"GMEB2"
0.617078850000276,-0.432573647269828,0.013,0.012,1,"SHANK2"
0.617350640241732,-0.315717739240757,0.024,0.026,1,"NTNG2"
0.617734086912093,0.857938003415374,0.162,0.091,1,"NUPR1"
0.618370068446639,0.705731742730421,0.081,0.047,1,"TAF7"
