gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC35E3,83.97482855106544,0.6993652403816871,0.18872444599089724,3.705748011126336,0.0002107677717575126,0.032539824375208234
IQCA1,15.309372798069756,1.086263418041495,0.29497565822005156,3.6825527387454584,0.00023091007809571435,0.03527028618402411
ERBB4,156.03545661645694,0.9230424118955286,0.2514352435746789,3.671093991329722,0.00024151449699871689,0.03650173839902713
SDC4,15.915533822772936,1.136932689769363,0.31015381075385445,3.6657060153668732,0.0002466571520827112,0.03689066030837049
SEMA4B,11.965420691318759,0.9374289480454212,0.25734415513999626,3.6427054173251228,0.00026978752762898224,0.038736093216969275
AF279873.3,6.546415987328362,1.3230761459508462,0.36290857844482866,3.6457560513466545,0.00026660680214420345,0.038736093216969275
MEIS2,14.045135216662164,1.2414177179313193,0.34031889787266356,3.647807176420212,0.00026448800938854355,0.038736093216969275
TMEM65,325.48255250785166,0.47145724275934775,0.12938036857655638,3.643962742928647,0.00026847229960428546,0.038736093216969275
ATP13A4,24.707818480472223,0.6948171556141607,0.19106169863080597,3.63661142234884,0.0002762481782408726,0.039271003397846026
ALDH1L1,8.497980409689823,1.162353702527108,0.3208965587762122,3.6222068163021772,0.0002921004354950982,0.040326712046525194
EHBP1L1,131.41978841297467,-0.35766911819354197,0.09861064810498255,-3.627084144227117,0.000286639904471867,0.040326712046525194
SLITRK4,4.91064080563884,-2.2118534483663495,0.6104230045913502,-3.62347655925432,0.0002906695574496985,0.040326712046525194
TRPM3,154.17484201720615,1.2514404804384276,0.34607961906743817,3.616047901955671,0.00029913504475080643,0.0409045806907817
AKAP12,32.23290765269802,-1.4705173979743895,0.4070897569575423,-3.612268235301627,0.00030353035294594546,0.04111404535469703
MCM10,3.251657930275157,-2.106271540600457,0.5847838946350017,-3.601794714122737,0.00031602788352804866,0.041128801491132766
HPSE2,108.06113717259137,1.3687305703825066,0.380782520237154,3.5945204877840817,0.00032498957211352705,0.041128801491132766
FERMT2,17.259497473401833,0.8933111933601021,0.2486068409913418,3.5932687523719964,0.00032655546524509925,0.041128801491132766
FRMD6,6.633994379152274,0.9665282538177546,0.2681503151455317,3.604427066562261,0.00031284228162431146,0.041128801491132766
MPDZ,22.888792175813776,0.9070433664331491,0.2519525262401323,3.6000566454676433,0.00031814786444095286,0.041128801491132766
MEGF10,27.3566819589615,1.033232949090174,0.2869393342715648,3.6008759541914275,0.00031714687279079133,0.041128801491132766
EYA1,11.195267549294442,1.1373289772264097,0.31509403279820963,3.6094906879901787,0.00030679878648150937,0.041128801491132766
GRAMD1C,12.842886954992109,1.1883144284365779,0.33059587337505925,3.5944623757854393,0.0003250621131020503,0.041128801491132766
AC104574.2,4.958690408293214,1.977952239770836,0.5509722366859434,3.589930867783956,0.00033076567345302014,0.04129681338642142
NEBL,58.58154501961311,1.0049969340246285,0.2802328107040646,3.586292880907295,0.00033541223519605625,0.041515938559870486
VSNL1,22.393440243515556,-1.871473485563106,0.5230724610078912,-3.5778474782576493,0.0003464354989826204,0.04215356690163105
TPBG,5.968597857430854,-1.7915232394621237,0.5006383737479196,-3.578477666524596,0.00034560139419792654,0.04215356690163105
