Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Monoatomic Anion Transmembrane Transport (GO:0098656),-7.741523e-01,-1.559236e+00,3.508772e-03,1.836183e-01,9.790000e-01,5/39,1.80%,GABRG2;GLRA3;GABRA4;SLC1A1;GLRB
prerank,Regulation Of Cell Migration (GO:0030334),5.677088e-01,1.559005e+00,0.000000e+00,3.096168e-01,9.990000e-01,43/316,6.42%,SASH1;LGR6;KANK1;PLXNB1;NTNG1;CTNNA2;SEMA4B;ERBB4;FERMT2;PTPRK;DAAM2;PRR5L;EGFR;HGF;FYN;NTRK3;MAGI2;GPNMB;PLXNA1;MITF;FRMD5;FGF2;CXCR4;TMEFF2;ALOX15B;ROR2;PDGFRB;PLEKHG3;SERPINE1;NEXN;ZNF703;FGF1;LIMCH1;SEMA3D;TJP1;IGF1R;RFFL;CD151;TNC;ADARB1;DUSP10;ENPP2;RELN
prerank,Positive Regulation Of Monooxygenase Activity (GO:0032770),-9.026018e-01,-1.557839e+00,0.000000e+00,1.833098e-01,9.800000e-01,3/17,0.62%,IL1B;GCH1;TNF
prerank,Synaptic Vesicle Cycle (GO:0099504),-8.138145e-01,-1.554512e+00,8.896797e-03,1.901425e-01,9.830000e-01,9/27,5.74%,CPLX1;RAB3A;SLC18A2;SLC32A1;SNAP25;CPLX2;SYT7;RIMS1;CDK5
prerank,Rho Protein Signal Transduction (GO:0007266),-7.572167e-01,-1.552488e+00,8.944544e-03,1.923544e-01,9.880000e-01,3/42,2.11%,AGTR1;ARHGDIG;ARHGAP4
prerank,Regulation Of DNA Repair (GO:0006282),6.448138e-01,1.548826e+00,7.125891e-03,3.498163e-01,1.000000e+00,10/117,5.74%,NPAS2;DPF3;EYA1;EGFR;SGF29;EYA2;TMEM98;KAT2B;KAT2A;TRIM28
prerank,Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428),-8.058887e-01,-1.546863e+00,3.546099e-03,2.088968e-01,9.890000e-01,4/29,1.57%,IL1B;TNF;KLF2;CD36
prerank,Regulation Of Phagocytosis (GO:0050764),-7.706254e-01,-1.546783e+00,5.172414e-03,2.034510e-01,9.890000e-01,6/39,4.76%,IL1B;TNF;SYT7;FPR2;TUB;SLC11A1
prerank,Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193),-7.960631e-01,-1.546733e+00,5.208333e-03,1.982084e-01,9.890000e-01,5/28,4.11%,AKAP12;MARCO;DRD2;FPR2;OPRM1
prerank,Cellular Response To BMP Stimulus (GO:0071773),7.800858e-01,1.545924e+00,1.555556e-02,3.511985e-01,1.000000e+00,8/32,7.85%,TGFBR3;BMPR1B;RGMA;BMP7;SOX9;RGMB;TGFB2;ACVR2B
prerank,Negative Regulation Of Epithelial Cell Proliferation (GO:0050680),7.135237e-01,1.544190e+00,1.327434e-02,3.484632e-01,1.000000e+00,13/48,7.19%,NFIB;TGFBR3;PTPRK;RGCC;NUPR1;FGFR2;SPARC;SOX2;SOX9;DUSP10;RUNX3;DAB2IP;TGFB2
prerank,Limb Development (GO:0060173),8.465282e-01,1.544074e+00,1.293103e-02,3.379207e-01,1.000000e+00,7/19,7.66%,GLI3;GREM1;SMOC1;KAT2B;KAT2A;PTCH1;LRP4
